Region,Country,Year,"Workers enjoying special protection","General remarks"
Europe,Poland,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","Article 177, para 1, LC:<br/>The employer shall not give notice of termination or terminate an employment contract with a female employee during her pregnancy or maternity leave, unless there are reasons justifying the termination of the contract without notice due to her fault, and the establishment&apos;s trade union body representing the employee has consented to the termination.<br/>Para. 2:The provision of § 1 is not applicable for the employee during the trial period of a maximum duration of one month. <br/>Para. 3: Fixed term employment contract or a contract for a trial period longer than one month which would be terminated after the third month of pregnancy, shall be extended until the day of childbirth. The provision of § 3 is not applicable to fixed term employment contract concluded for the purpose of replacing the employee during his or her justified absence from work.<br/>Para 3.1: The provision of § 3 is not applicable to fixed term employment contract concluded for the purpose of replacing the employee during his or her justified absence from work..<br/>Para. 4: The notice of termination of the employment contract with a female employee during her pregnancy or maternity leave is possible only in the case of declaration of bankruptcy or liquidation of the employer. The employer is obliged to agree on the date of termination of the employment contract with the workplace trade union organisation representing the employee. If it is impossible to guarantee another employment during this period, the female employee is entitled to other benefits determined in separate provisions. The period of receiving these benefits is included in the period of employment determining employee’s entitlements. <br/>Para. 5:The provisions of paras. 1, 2 and 4 shall apply accordingly to an employee-father raising a child or an employee- other member of immediate family, during the period of maternity leave. <br/><br/>Article 39 LC provides that the employer may not terminate an employment contract to a worker who lacks no more than four years to reach retirement age, if the period of employment enables him to obtain the right to a pension from that age. <br/>However this article does not apply it the worker becomes eligible for a disability pension because of the total incapacity to work. (Art. 40 LC).<br/><br/>Article 41 LC provides that the employer shall not terminate a contract of employment during employee&apos;s leave, as well as during other justified absence from work of the employee, if the period authorising to terminate the contract of employment without notice is not over yet.<br/><br/>However, according to the Article 41.1, para. 1, in case of declaration of the bankruptcy or liquidation of the employer, the provisions of Article 38, 39 and 41 or the specific provisions protecting employees against termination of a contract of employment shall not apply. (Art. 38 is on the notification to trade union body- look bellow)<br/><br/>Article 186.8, para. 1. The employer shall not terminate or dissolve the contract of employment in the period from the date of the employee&apos;s application for:<br/>1) a leave to raise a child - until the day of termination of that leave; <br/>2)Reduction of the working time - until the day of return to the unreduced working time, but no longer than for a total period of 12 months;<br/>Para. 2. In cases referred to in para. 1, the termination of the contract of employment by the employer shall only be allowed in the event of the declaration of the bankruptcy or liquidation of the employer, and where there are grounds justifying termination of the contract of employment without notice due to employee&apos;s fault.<br/><br/>Article 186.1, para. 2, provides that if the employee applies for a leave to raise a child after committing an act leading to termination of the contract of employment the contract shall terminate within the period specified by that act.<br/>Para. 3. If the application referred to in §1 is issued by an employee earlier than 21 days before the beginning of the leave to raise a child or of the reduced working time, the prohibition referred to in § 1 shall start to apply 21 days before the beginning of the leave to raise a child or of the reduced working time  <br/>Para. 4. If the application referred to in §1 is issued by an employee after the action aimed at termination of the employment contract, the contract shall terminate with the date resulting from this action."
Europe,Portugal,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","<u>- Pregnant women/ women on maternity leave and workers with family responsibilities</u>:<br/>There is no  prohibition of dismissal during pregnancy or maternity leave. However, according to article 63 LC, any dismissal of a pregnant employee, an employee who recently gave birth or is breastfeeding or any employee (male and female) on parental leave requires the prior favourable opinion of the competent authority (Commission for Equality in Labour and Employment (CITE)). <br/>Any disciplinary dismissal of those employees is always presumed to have been done without a just cause.<br/>The CITE shall issue its opinion within 30 days. <br/>If the opinion is unfavourable, the employer cannot dismiss the employee without having obtained a court decision recognizing the existence of a justified reason. In such cases, the burden of the proof lies on the employer.  If a dismissal is declared unlawful by the courts the employer cannot oppose the reinstatement of the employee. As an alternative to reinstatement the employee is entitled to compensation.  <br/>(Note also that under Article 381 of the Labour Code, failure by the employer to ask for a prior formal opinion from this authority is in itself a ground of unlawfulness.) <br/><br/><u>- Workers&apos; representatives:</u> <br/>The LC prohibits the dismissal of workers&apos; representatives on the grounds of their participation in collective representation structure or trade-union affiliation or non-affiliation (art. 406) and provides them with special protection  in case of disciplinary action or dismissal (art. 410). In particular, the dismissal of a  candidate for a trade union body or the Works Council or employees who are, or have been, members of such bodies within the last three years is always presumed to have been done without a just cause (art. 420-3 LC). <br/>If the employer cannot prove that the disciplinary of dismissal was justified by a just cause, the workers&apos; representative has the right to choose between reinstatement or compensation higher than the standard one (art. 410-6). The court proceedings for challenging such dismissals are of an urgent nature (art. 410-5).<br/><br/>The articles 29 and 127 (as amended by law no 93/2019) of LC address prohibition and restraint of harassment at work and provision of right to compensation, as well as prohibition of any disciplinary sanction to the complainant and possible witnesses. <br/><br/>Article 331 of LC (as amended by law no 93/2019) considers illegal the dismissal or application of severe sanctions up to one year after the harassment complaint was presented. In case of illegal dismissal, the compensation should be correspondent to 12 months of salary, maintained the payment of other labour dues on account of regular dismissals."
Americas,Paraguay,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers holding an elected position or discharging a public function","See above provisions related to articles 136, 318 and 321 of Labour Code, for trade union members and workers in state of pregnancy and maternity leave.<br/>According to article 94, the workers who count with more than 10 years of service, may not be dismissed unless: 1) that the employer previously verify, in a reliable way, the existence of some just legal cause of dismissal imputed to the worker; 2) that the worker whose replacement was ordered decides to agree with it and receive the double compensation referred to in article 97; and, 3) that the worker has taken up retirement, in accordance with the Law. In this case, the employer and the worker may agree to a new employment relationship, subject to the following rules: a) There will be no alteration of wages, duration of vacations or other previous benefits; b) The termination of the link must occur with ninety days&apos; notice, compensable in cash; and, c) The worker will not be entitled to seniority compensation. <br/>Moreover, the worker who has acquired stability and to whom the facts set forth in the Law are imputed, as grounds for dismissal, will be suspended from employment during the substantiation of the trial, and may only be dismissed after the imputation is verified before the Labor Judge (article 95 of Labour Code).<br/><br/><br/>"
Europe,Romania,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","- for the duration of a temporary disability (i.e illness), as certified by a medical certificate;<br/>- during the suspension of work activity following the lay of quarantine (as modified by Act No. 40/2111);<br/>- during the pregnancy of an employee, insofar as the employer took knowledge of it prior to issuing the dismissal decision;<br/>- during the maternity leave;<br/>- during the parental leave for children under two years of age or, in the case of a disabled child, up to the age of three years;<br/>- during the parental leave for children under seven years of age or in the case of a disabled child, for intercurrent diseases, up to the age of eighteen years;<br/>- during the annual leave.<br/>[Act No. 40/2011 removed from art. 60(1) LC the prohibition of dismissal during the compulsory military service]<br/>These prohibitions do not apply in case of redundancies for reasons that result from the employer&apos;s re-organisation, bankruptcy or winding up according to law. (art. 60(2) LC, as amended by Act No. 40/2011)<br/>The prohibition of dismissal concerning employee&apos;s representatives is further specified in arts. 220(2) and 226 LC. According to these provisions, the representatives elected in the trade union management bodies may not be dismissed during their term of office for reasons related to the fulfillment of the mandate received from the employees in the organization (art. 220 (2) LC)<br/>The same prohibition applies to the employees&apos; representatives during their entire mandate period (art. 226 LC)"
Europe,"Russian Federation",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","Article 261 of the Labour Code prohibits to dismiss a pregnant worker except in the event of enterprise liquidation. It also prohibits the dismissal of  women with children under three years old, single mother raising a child under fourteen years old (disabled child under eighteen), workers raising those children without a mother except on certain limited grounds ( liquidation and grounds related to the misconduct of the worker).<br/><br/>Except in the event of enterprise liquidation, workers under 18 can only be dismissed with the authorization of the Labour Inspectorate and the Commission for the rights of minors (art. 269 of the Labour Code).<br/><br/>Articles 374-376 LC elaborate on the procedure on how to dismiss elected workers’ representatives and provide additional guarantees to them.<br/><br/>"
Africa,Rwanda,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","- Women on maternity leave:<br/>Prohibition to dismiss a woman during maternity leave (art. 61 LL)<br/><br/>- Workers&apos; representatives:<br/>In case of an unlauful dismissal, workers&apos; delegates and trade union representatives are entitled to the payment of damages up to a maximum of 9 months&apos; pay (instead of 6 months&apos; pay).<br/><br/>- Injured workers declared unfit to work:<br/>Art. 19  LL prohibits the dismissal of an employee as a result of occupational accident, unless declared as unfit to work by a doctor.<br/>"
"Arab States","Saudi Arabia",2017,"workers&apos; representatives, pregnant women and/or women on maternity leave","Limited protection. No prohibition of dismissal of pregnant women as such: the prohibition only covers maternity leave  (sec. 155 LL: 10 weeks period) and period of illness resulting from pregnancy or delivery provided it does not exceed 180 days (sec. 156 LL).<br/>"
Europe,Sweden,2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","See for example, sec. 8 of the Trade Union Representatives (Status at the Workplace) Act, 1974 on priority to continued employment in connection with redundancies. <br/>See also sec. 30 EPA on the obligation of the employer to consult the employee and the local organisation of employees to which the employee belongs concerning the measure to which the information and the notice relate. This shall apply provided that such consultations are requested not more than one week after the information was given.  <br/>NOTE: About 70% of the workers in Sweden are union members.<br/>"
Asia,Singapore,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","See sec. 81, 84 and 84A EA."
Europe,Slovenia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","* Worker&apos;s representatives and trade union representatives: No dismissal without the prior consent of the body whose member they are (art. 112 ERA).<br/>* Older workers (over 55 years old): No dismissal for economic reasons without the consent of the worker until he fulfills the minimum conditions for acquiring the right to a retirement pension due to age (art. 114 ERA). Paragraph 2 of Article 114 list the exceptions to this rule:<br/>-         if the worker shall be entitled to financial compensation from unemployment insurance to qualify for a retirement pension,<br/>-         if the worker is offered a new suitable employment with the employer in accordance with the first paragraph of Article 91 or under Article 92 of this Act,<br/>-         in the event that a worker at the conclusion of the contract of employment already qualifies for protection against dismissal under this Article, unless the contract of employment in accordance with the previous indent,<br/>-         in the case of the introduction of the winding employer.<br/><br/>* Workers with family responsibilities and pregnant women:<br/>Prohibition of dismissal during pregnancy, period of breastfeeding and parental leave (art. 115 ERA).<br/><br/>* Workers with disabilities and workers absent due to illness or injury: art. 116 (1) and (2) ERA)<br/><br/>Article 117 provides that if the worker falls into more than one of the categories of previous articles, she/he will be subject to stronger protection."
Europe,Slovakia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","Some categories of workers enjoy special protection which takes either the form of  <b>1) a prohibition of notice during &quot;a protection period&quot; or 2)  additional procedural  requirements (i.e prior approval of a competent authority).</b><br/><br/>1) Sec. 64 LC expressly prohibits the employer to give notice to employees - subject to certain exceptions - during a &quot;protection period&quot;, namely:<br/>- at a time when the employee is declared temporarily incapable of performing work due to disease or accident, unless deliberately induced or caused under the influence of alcohol, narcotic substances or psychotropic,<br/>- in case of conscription of the employee to perform extraordinary service in time of crisis,<br/>- during the entire period of pregnancy, maternity leave, parental leave or in case a lone employee (male and female) takes care of a child under the age of three,<br/>- during the leave granted for the performance of a public office, <br/>- at a time an employee is declared temporarily incapable of performing night work.<br/>However, this prohibition of notice does not apply to cases of termination:<br/>* for reasons justifying immediate termination unless concerning employee on maternity leave or on parental leave,<br/>* for other breaches of labour discipline unless concerning a pregnant employee, an employee on maternity leave or on parental leave (male and female),<br/>* in the event of cessation of activities or relocation of the employer&apos;s business.<br/><br/>The LC provides a special protection against termination during the probationary period to pregnant women, mothers of children below nine months and breastfeeding women. While as a rule, termination of employment during the probationary period can take place for any reason and without justification, employment of the above mentioned workers may be terminated only in exceptional cases not relating to pregnancy or maternal function, and the reasons for termination must be stated in writing (sec. 72(1) LC as amended).<br/><br/><b><u>2) Specific requirements:</b></u><br/><b>- Prior authorization:</b><br/>*<u> Employee&apos;s representatives</u>: <br/>According to See also sec. 240(7) LC, Employees&apos; representatives which include trade union members, members of a works council or a works trustee, during their term in office and for <u>six months</u> after its termination shall be protected against measures which could damage them, including the termination of the employment relationship and which could be motivated by their position or activity. Sec. 240 (8) LC specifies that any summary dismissal or  dismissal with notice of a member of the relevant trade union body, a member of a works council or a works trustee requires the prior consent of these employees&apos; representatives.<br/>*<u>Disabled workers</u>:<br/>Sec. 66 LC:  &quot;An employer may dismiss an employee with health disability only with he prior consent of the relevant office of labour, social affairs and family otherwise notice shall be invalid. No such consent is required where the employee has reached the age entitling him/her to old-age pension or was dismissed on the grounds of cessation of activities or relocation or for grave breaches of labour discipline.<br/><b>- Severance pay</b><br/>There is no general right to severance pay except for redundancies. However, the LC foresees specific severance payment in the following situation:<br/>* Termination with notice following a prohibition to carry out the work as a result of &quot;employment injury, occupational disease or the risk of such an disease, or he/she has already received the maximum permitted level of exposure in the work place as determined by a decision of a competent public health body. The employee is entitled to severance pay (unless the occupational injury or disease was caused  by his/her  fault) amounting to at least 10 months&apos; pay (sec. 76(3) LC).<br/>* With regard to termination with notice due to &quot;long term loss of ability to perform the work&quot; for health reasons, the rules have changed in 2011: under the previous LC, employees were entitled to 2 month&apos;s pay or 3 months&apos; pay if they had at least 5 years of service. According to sec. 76(1) LC, when the employment is termination because the employee is no longer able to perform the work, given his/her health status severance payment now amounts to the employee&apos;s average monthly earnings multiplied by the  number of months of the notice period. Severance pay now functions as a pay in lieu of notice, as it is not any more payable when the employee works through the entire statutory notice period. The employer is required to pay the employee a severance payment only in the event that the employment terminates by agreement. If the employee works partially through the termination period, he/she will be entitled to some severance payment for the time he/she has not worked.<br/>"
Africa,Senegal,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","Art. L214-217 LC: mandatory approval by the Labour Inspector prior to any dismissal of a workers&apos; representative and specific remedies for wrongful dismissal. <br/>Art. L143 LC on the prohibition of dismissal during the suspension of the contract due to maternity leave (no reference to prohibition of dismissal on the basis of pregnancy)"
Americas,"El Salvador",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities, war veterans, minors","- On pregnancy and maternity leave, see art. 113 LC: An employer cannot dismiss a pregnant women by way of de facto dismissal or dismissal following a court&apos;s decision during the entire period of pregnancy and until the end of the maternity leave unless the alleged cause for dismissal relates to facts which took place prior to the beginning of pregnancy. Even in such case, the dismissal will only be effective immediately after the end of the maternity leave.<br/>- Trade union representatives:Previous authorization from the competent authority is required for the dismissal of a worker covered by trade union immunity (Constitution, art. 47, and Labour Code, art. 248). Trade union immunity protects trade union leaders, candidates for election to the union board, workers in the process of establishing or organizing a union and the founding members. This protection is subject to certain conditions with regard to numbers of persons protected and periods of protection which can be increased through collective agreements.<br/>During the process of establishing the union, protection lasts for not more than 60 days from the date of notification of the administrative authority (art. 248.a) and for the founding members for up to 60 days following registration of the union (art. 214). In the case of trade union representatives, protection lasts for up to one year from the expiry of their mandate and for candidate officers, from one month before the elections take place until one week after the election.<br/>-Art. 308-A LC:  Workers who suffer from chronic illness that cause disabilities, requiring frequent medical controls, rehabilitation or specialized medical care, cannot be dismissed and cannot suffer any discount on their wages in relation to these conditions. The stability at work will last from the date when a relevant medical report certifying the medical condition has been issued and will be extended until three months after the completion of the medical treatment."
"Arab States","Syrian Arab Republic",2013,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","Art. 57(a) LL provides that &quot;no notice of termination shall be served upon female workers while on maternity leave, or upon workers while on leave. The notice period shall be calculated starting the day after the end of the leave or maternity leave.&quot;<br/>See also article 122 LL: No employer may dismiss a female worker or terminate her contract while on maternity leave."
Asia,Thailand,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","- The employer cannot, except with the approval of the Labour Court, terminate employment of, or reduce the wages of, or punish a member of an employees&apos; committee (art. 52 LRA). Such committees are set up by employees in establishments employing at least 50 employees (art. 45 LRA).<br/>- It is generally unlawful for an employer to terminate the employment or transfer the duties of the employees, their representatives, the committee members, subcommittee members, or members of the labour union, or committee members or subcommittee members of the labour federation, who are involved in the presentation, negotiation or reconciliation of a request to renegotiate an agreement on conditions of employment. Termination or transfer is, however, lawful if the persons concerned dishonestly perform their duties or wilfully commit a criminal offence against the employer; wilfully cause damage to the employer; neglect work for three consecutive working days without a suitable reason; or violate the rules, regulations or lawful orders of the employer, provided the employer has issued a warning in writing. The written warning is not required in severe cases (art. 31 LRA). The same protection applies to the same employees while an agreement on conditions of employment or equivalent award is in effect, with one additional category of permitted dismissal (i.e. when the employee commits any act of instigation, encouragement or persuasion to violate the agreement on conditions of employment or equivalent arbitration award) (art. 123(5) LRA)."
Europe,Tajikistan,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","Art. 215 LC provides for a protection of the termination of employment for pregnant women and women with children under the age of three years, single mothers if they have a disabled child under sixteen years, except for cases of complete liquidation of the organization, when the termination of the employment contract (contract) is permitted ,however they should be assisted by the government agencies with finding a suitable work and employment."
Europe,Turkmenistan,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","Art. 241 LC<br/>Art. 257 LC"
Africa,Tunisia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","- Art. 166 LC: specific procedural rules apply to the dismissal of a workers&apos; representative or a trade union representative: the employer must submit the dismissal to the decision of the competent labour inspector and complying with his or her decision except when the existence of a real and serious reason justifying dismissal is proved by a court which entertains jurisdiction (art. 166 LC and 169bis LC added by the Act No. 2007-19). <br/>- Art. 20(2) LC: An employer may not dismiss a woman on the grounds that she has suspended her work during the period before and after her confinement. If she is dismissed, the employer is liable to pay damages provided that she informed her employer of the reason for her absence. Notice of dismissal is prohibited up to a maximum of 12 weeks after maternity leave if the woman produces a medical certificate that she is incapable of returning to work because of an illness arising out of her pregnancy or confinement.<br/>-Art. 19 LC: performing military duties cannot be a cause of termination of employment.<br/>________________________<br/>- Article 166 du Code du travail: Procédure spéciale pour le licenciement d&apos;un membre titulaire ou suppléant représentant le personnel au sein de la commission consultative d&apos;entreprise.<br/>- Article 20(2) du Code du travail: Protection contre le licenciement de la femme enceinte ou en congé de maternité.<br/>- Article 19 du Code du travail: Le fait d&apos;effectuer des devoirs militaires ne peut être une cause de rupture du contrat de travail."
Europe,Türkiye,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","* Art. 24 of the 2012 Act No. 6356 on Trade Unions and Collective agreements:<br/> “ (1) An employer shall not terminate the employment contract of shop stewards unless there is a just cause for termination and he indicates this clearly and precisely. The shop steward or the trade union of which he is a member shall have the right to apply to the competent court within one month of the date when the notice of termination is communicated to him (...). <br/>(3) If the court decides that the trade union representative is to be reinstated in his employment, the termination shall be annulled and the employer shall pay his full wages and all other benefits between the termination and final decision date. On the condition that the trade union representative applies within six working days following the final decision of reinstatement, and in the event that he is not reinstated within six working days, his wage and other benefits shall continue to be paid by taking into account that his employment relation is still continuing. This provision shall likewise apply in the case of a new appointment as shop steward.<br/>(4) Unless there is a written consent of the shop steward, the employer shall not change the workplace of the shop steward or shall not make a drastic change in his work. Otherwise, the change shall be considered as void.&quot;<br/><br/>* Prohibition to dismiss a women on the grounds of pregnancy or maternity leave (Art. 18 LA) and general prohibition of discrimination on the grounds of maternity (Art. 5 LA)."
Africa,"Tanzania, United Republic of",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with family responsibilities, confirmed injured workers","Article 37(3)(b) ELRA: It is also seen to be unfair to dismiss an employee for reasons related to pregnancy. <br/>In addition art. 41(4) ELRA provides that notice of termination shall not be given &quot; (a) during any period of leave taken under this Act; or (b) to run concurrently with any such period of leave&quot;. This includes maternity leave ( 84 days min,. see art. 33 ELRA).<br/><br/>[See also art. 36 ELRA: failure to allow the employee to resume work after taking maternity leave granted under the ELRA or any agreed maternity leave is considered to be termination of employment, and therefore, if unilaterally decided by the employer, the fair reason requirement shall apply]"
Europe,Ukraine,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","Pregnant women, women who have children under the age of three, (or, in special circumstances supported by medical evidence, under the age of six), and single mothers who have disabled children or children under the age of 14 (Art. 184 LC)<br/>Art. 22"
Africa,Uganda,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","Limited protection consisting in mandatory prior consultation of the union branch before initiating disciplinary proceedings and penalties involving dismissal against an employee who is a union member: Art. 1 Disciplinary rules, § (6) of the Disciplinary Code, schedule 1 of the EA.<br/><br/>Art. 56(2) EA provides that a female employee who becomes pregnant shall have the right to return to the job which she held immediately before her maternity leave, or to a reasonably suitable alternative job on terms and conditions not less favourable than those which would have applied had she not been absent on maternity leave.<br/>"
Americas,"United States",2017,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities",
Americas,Uruguay,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","Laws No 16.074/1990 (Articles 69) establishes provisions for special severance indemnities of workers that have suffered occupational ilnesses and accidents. In this case, the worker will be entitled to triple severance indemnity if the woker has been dismissed during a professional illness leave or labour accident or after 180 days of the worker´s return to work.<br/>Moreover, workers in a state of pregnancy or maternity leave may only be dismissed with the payment of statutory severance pay indemnity plus 6 months salary if the dismissal happens during pregnancy or after a period of 6 months of the worker´s reincorporation to work (Law No  N° 11.577/50).<br/>Workers who suffer from any illness and are in treatment also enjoy special protection (Law No 14.407/75) and in case of unfair dismissal are entitled to double severance indemnity for an employer who dismisses an employee during sick leave or after 30 days of the worker´s return to work."
Europe,Uzbekistan,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","Article 25 LC provides additional labor guarantees for workers’ representatives. They are protected from harassment by the employer in connection with their functions and activities. Imposture of disciplinary sanctions against workers’ representatives and the termination of labour relations with them at the initiative of the employer is prohibited without the prior consent of the local labor authorities.<br/><br/>Art. 100.7 LC prohibits termination of a labor contract at the initiative of the employer during worker’s temporary incapacity to perform work and during leave from work, except cases of complete liquidation of the enterprise.<br/><br/>Article 237 LC provides guarantees for pregnant women and women with children. Termination of an employment contract with pregnant women and women with children younger than three years old at the initiative of the employer is not allowed, except in cases of complete liquidation of the enterprise.<br/>"
Americas,"Venezuela, Bolivarian Republic of",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers with disabilities","Venezuelan law provides that certain workers, for various reasons, are irremovable and may not be dismissed, transferred or employed in less favourable working conditions without just cause approved in advance by the labour inspector (art. 94, OLL). <br/>This protection is, generally, reserved for trade union promoters and board members, promoters of collective agreements and workers involved in collective disputes against employers, but has also been extended to other categories of persons, whether or not they are linked to trade union activity or collective relations. The following may therefore enjoy protection under the BLA:<br/>* a pregnant woman, during pregnancy and up to two year after confinement; paternity protection during the pregnancy of his couple up to two years after confinement<br/>* workers with one or more disabled children or serious disease hampering its self-fulfilment<br/>* workers enjoying trade union rights, including:<br/>->workers applying to register a trade union, since the moment of the application up until fifteen days after it has been registered or   the application has been denied; <br/>-workers supporting the register of a trade union u until fifteen days after it has been registered or the application has been denied; <br/>-representatives of the board of directors of the trade union in an enterprise (the number of protected individuals depends on the size of the enterprise.<br/>-workers enjoying membership in a trade union which is holding elections, until the establishment of the board of directors.<br/>-workers who run for trade union elections, up until 60 days after the board has been established.<br/>-workers during the drafting and negotiating process of a collective agreement since its presentation to Labour Inspection up until the end of its negotiation or start of an arbitration procedure.<br/>-workers during the exercise of its right to strike, as foreseen in the law.<br/><br/>__________<br/>In Spanish:<br/>Artículo 94 OLL. Los trabajadores y trabajadoras protegidos de inamovilidad no podrán ser despedidos, ni trasladados, ni desmejorados sin una causa justificada la cual deberá ser previamente calificada por el inspector o inspectora del trabajo."
Asia,"Viet Nam",2012,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers on temporary leave following an occupational disease or a work injury","Art. 39, Art. 111: Prohibition to dismiss:<br/>- a worker under treatment as a result of sickness, labour accident or occupational disease except in case of force majeure;<br/>- pregnant women, women on maternity leave, and women taking care of a child under 12 months of age, except for business reasons.<br/>Art. 155(4) LC: In order to dismiss a member of the executive committee of the local trade union, the employer must obtain the consent from this committee."
"Arab States",Yemen,2013,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers on temporary leave following an occupational disease or a work injury","Pursuant to Article 37(1) LC, dismissal of a worker is  forbidden during any of the worker&apos;s leave provided for in the LC.<br/>* This protection covers maternity leave but not the entire period of pregnancy. The LC originally provided for a 60 day maternity leave (art. 45 LC). According to the latest amendment to the LC dated April 2008 (not available in English), women are now entitled to a 70 day maternity leave. <br/>* The protection against dismissal also covers workers in sick sick leave (for ordinary sickness and occupational disease and work injury regulated art. 80 to 83 LC). <br/>"
Europe,Serbia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers performing military/alternative service, workers on temporary leave following an occupational disease or a work injury, workers holding an elected position or discharging a public function","i) Workers&apos; representatives: article 188 Labour Law: no dismissal during the term of office.<br/>ii) No dismissal during pregnancy, maternity leave, absence for childcare or special care of the child, according to article 187 of Labour Law."
Africa,"South Africa",2019,"workers&apos; representatives, pregnant women and/or women on maternity leave","Protection only applicable to disciplinary dismissals:<br/>According to sec. 4(2) of the Code of Good Practice, disciplinary proceedings against a trade union representative should not be instituted without first informing and consulting the trade union."
Africa,Zambia,2019,"workers&apos; representatives, pregnant women and/or women on maternity leave, workers on temporary leave following an occupational disease or a work injury","&quot;Workers&apos; representatives&quot; were added in the category of workers enjoying special protection in 2017.<br/><br/>- The EA also provides for statutory sick leave with full pay and employment cannot be terminated on this ground during this leave period (sec. 54).<br/>- Sec. 15B EA prohibits termination of employment for reasons connected with pregnancy and establishes a presumption of violation of such prohibition (in the absence of proof to the contrary) if the employer terminates the contract of a female employee within six months after delivery.<br/>- Sec. 36(4)(b) EA prohibits the termination of an employment contract for an employee seeking office as, acting or having acted in the capacity of, an employee’s representatives."
