Region,Country,Year,"Notification to the worker to be dismissed","Pay in lieu of notice","Notification to the public administration","Notification to workers' representatives","Approval by public administration or judicial bodies","Approval by workers' representatives","General remarks"
Asia,Singapore,2019,written,Y,N,N,N,N,"Notice periods are governed by the terms of the contract (sec. 10 (2) EA), and it is only in the absence of such a stipulation that the statutory notice periods apply.<br/>Sec. 10 (3) EA establishes statutory minimum notice periods as follows:<br/>- one day for less than 26 weeks&apos; service; <br/>- one week for 26 weeks to less than two years&apos; service; <br/>- two weeks for two to less than five years&apos; service;<br/>- four weeks for five or more years&apos; service.<br/>______________________<br/>Notice of termination of contract<br/>10.—(1) Either party to a contract of service may at any time give to the other party notice of his intention to terminate the contract of service.<br/>(2) The length of such notice shall be the same for both employer and employee and shall be determined by any provision made for the notice in the terms of the contract of service, or, in the absence of such provision, shall be in accordance with subsection (3).<br/>(3) The notice to terminate the service of a person who is employed under a contract of service shall be not less than — (a) one day’s notice if he has been so employed for less than 26 weeks; (b) one week’s notice if he has been so employed for 26 weeks or more but less than 2 years; (c) 2 weeks’ notice if he has been so employed for 2 years or more but less than 5 years; and (d) 4 weeks’ notice if he has been so employed for 5 years or more. <br/>(4) This section shall not be taken to prevent either party from waiving his right to notice on any occasion.<br/>(5) Such notice shall be written and may be given at any time, and the day on which the notice is given shall be included in the period of the notice. <br/><br/>Dismissal<br/>14 EA.—(1) An employer may after due inquiry dismiss without notice an employee employed by him on the grounds of misconduct inconsistent with the fulfilment of the express or implied conditions of his service except that instead of dismissing an employee an employer may —<br/>(a) instantly down-grade the employee; or<br/>(b) instantly suspend him from work without payment of salary for a period not exceeding one week.<br/>(2) Notwithstanding subsection (1), where a relevant employee considers that he has been dismissed without just cause or excuse <br/>his employer, he may, within one month of the dismissal, make representations in writing to the Minister to be reinstated in his former employment.<br/>(2A) For the purposes of subsection (2), a relevant employee means —<br/>(a) an employee employed in a managerial or an executive position —<br/>(i) who is dismissed with notice; or<br/>(ii) who is dismissed without notice but receives payment of any salary in lieu of notice, after having served that employer for at least 12 months in any position (whether or not a managerial or an executive position);<br/>(b) an employee employed in a managerial or an executive position who is dismissed without notice and without salary in lieu of such notice; or<br/>(c) an employee not employed in a managerial or an executive position.<br/>(3) The Minister may, before making a decision on any such representations, by writing under his hand request the <br/> commissioner to inquire into the dismissal and report whether in his opinion the dismissal is without just cause or excuse.<br/>(4) If, after considering the report made by the Commissioner under subsection (3), the Minister is satisfied that the employee has been dismissed without just cause or excuse, he may, notwithstanding any rule of law or agreement to the contrary —<br/>(a) direct the employer to reinstate the employee in his former employment and to pay the employee an amount that is equivalent to the wages that the employee would have earned<br/>had he not been dismissed by the employer; or (b) direct the employer to pay such amount of wages as compensation as may be determined by the Minister, and the employer shall comply with the direction of the Minister. (...)<br/>"
Europe,Slovenia,2019,written,Y,N,N,N,N,"Art. 94 ERA establishes statutory minimum notice periods that vary according to the reason for dismissal and the length of service as follows:<br/><br/>&quot;(...) (3) In the event of ordinary cancellation of the employment contract by the employer for a business reason or reason of incompetence, the notice period shall be: <br/>-15 days for up to one year of service with the employer, <br/>-30 days for a period exceeding one year of service with the employer. <br/>After a two-year period of employment with the employer, the 30-day notice period shall increase for each year of employment with the employer by two days, but shall not exceed 60 days. <br/>After a period of 25 years of service with the employer, the period of notice shall be 80 days unless a different notice period is specified by a branch collective agreement, and in no circumstances less than 60 days. <br/><br/>(4) In the event of cancellation of the employment contract by the employer for reasons of misconduct, the notice period shall be 15 days. (...)&quot;"
Europe,Slovakia,2019,written,Y,N,N,N,N,"(1) Where notice has been given, the employment relationship shall terminate upon expiration of the period of notice. <br/><br/>(2) The period of notice shall be at least one month, unless this Act stipulates otherwise. <br/><br/>(3) The notice period for an employee who is given notice for the reasons stated in Sec.63 paragraph 1 letter a) or b) or because the employee&apos;s health condition has, according to a medical opinion, caused the long term loss of their ability to perform their present work, shall be at least <br/>a) two months if the employer in employment relationship has employed the employee for at least one year and less than five years as at the date of delivery of notice, <br/>b) three months if the employer in employment relationship has employed the employee for at least five years as at the date of delivery of notice, <br/><br/>(4) The notice period for an employee who is given notice for reasons other than those stated in paragraph 3 shall be at least two months if the employer in employment relationship has employed the employee for at least one year as at the date of delivery of notice. <br/>(...)"
Africa,Senegal,2019,written,Y,N,N,N,N,"No specified duration in the Labour Code.<br/>However, art 23 of the Inter-occupational Collective Agreements establishes specific duration of the notice period according to the worker&apos;s category. <br/>For non-executive monthly paid workers,the notice period is 1 month. <br/>The duration of the notice period is 3 months for executives and similar workers. For blue collar-workers and permanent staff paid on a hourly, daily or weekly basis, notice period varies according to the worker&apos;s category and length of service, as follows: <br/>* Less than one year of service: 8 days (categories 1 to 4) /  15 days (categories 5 to 7) <br/>* From 1 to 5 years of service: 15 days (categories 1 to 4) / 15 days (categories 5 to 7) <br/>* More than 5 years: 1 month (categories 1 to 4) /  1 month (categories 5 to 7)"
Americas,"El Salvador",2019,"no specific form required",N,N,N,N,N,
"Arab States","Syrian Arab Republic",2013,written,Y,N,N,N,N,"Art. 56 a) 1) LL: Notice shall be sent two months prior to termination.<br/>In the event of termination of a disabled worker, the notice period shall be doubled (art. 140 LL)."
Asia,Thailand,2019,"no specific form required",Y,N,N,N,N,"-<b>Dismissal not based on economic reasons</b>:<br/>See art. 17 LPA, as amended by LPA-No2 of 2008 (art. 8): &quot; Where the period is not specified in the contract of employment, an employer or an employee may terminate the contract by giving advance notice in writing <b>to the other party </b> <u>at or before any due date of wage payment in order to take effect on the following due date of wage payment</u>, with no requirement for advance notice of more than 3 months&quot;. Therefore, if a worker is paid on a monthly basis, the notice period shall be at least 1 month. See also art. 582 CCC.<br/>See also: Remark box (below)<br/><br/>- <b>Dismissal for economic reasons</b>:<br/>According to art. 121 LPA, the employer shall give <u>at least a 60-day notice</u>  <b>to the labour inspection </b>when he or she intends to terminate an employee due to the restructuring of the work unit, the production process, or the distribution or provision of services, resulting from the introduction or change of machinery or technology.<br/><br/><b>Note</b>: Article 11 of ILO Convention No. 158 refers to the notice to be given to the worker.<br/>In Thailand, since Article 121 LPA refers to the 60-days notice to be given to the labour inspectorate (not to the worker), it is not reported in the table below.<br/>"
Europe,Tajikistan,2019,written,Y,Y,Y,N,Y,"Art. 45 (1) LC: Employer must in written form let the worker know about employers&apos; intentions to terminate the labour contract.<br/>- The worker should be notified no less than two months prior to the termination of the contract if the reason for that termination is the liquidation of the organization or the termination of the activity of the employer (individual, reduction in the number or staff of employees);<br/>- The worker should be notified no less than a month prior to the termination of the contract if the reason for that termination is due to worker’s lack of qualifications or for health reasons.<br/>"
Europe,Turkmenistan,2019,written,Y,N,Y,N,Y,
Africa,Tunisia,2019,written,Y,N,N,N,N,"Employers and employees are required to give one month&apos;s notice in writing. If there are provisions which result from a contractual or collective agreement, general practice or vested rights that require a longer period of notice, these provisions are applied (art.  14bis LC). For example, the period of notice for journalists (art. 398 LC) and commercial travellers and sales representatives (art. 410 LC) varies between one and three months.<br/>_________________________<br/>Les employeurs et les employés sont tenus de donner un préavis écrit d&apos;un mois. L&apos;article 14bis du Code du travail dispose que &quot;le préavis de rupture du contrat de travail à durée indéterminée est notifié par lettre recommandée adressée à l&apos;autre partie <b>un mois avant la rupture du contrat</b> (...) le tout sans préjudice des prescriptions plus avantageuses pour le travailleur résultant de dispositions spéciales prévues par l&apos;accord des parties, la convention collective ou l&apos;usage.&quot; <br/>Par exemple, le délai de préavis pour les journalistes (art. 398 LC) et les voyageurs commerciaux et représentants commerciaux (art. 410 LC) varie entre un et trois mois."
Europe,Türkiye,2019,written,Y,Y,N,N,N,"Art. 17 LA: <br/>The notice period to be observed by the employer before terminating a contract of indefinite duration varies according to the employee&apos;s length of service, as follows:<br/>- 2 weeks if the employee has been employed for less than 6 months;<br/>- 4 weeks if the employee has been employed for at least 6 months but less that one-and-a-half years;<br/>- 6 weeks if the employee has been employed for at least  one-and-a-half years but less than 3 years;<br/>- 8 weeks if the employee has been employed for more than 3 years.<br/>These are minimum periods and may be increased by contracts between the parties."
Africa,"Tanzania, United Republic of",2019,written,Y,N,N,N,N,"Art. 41(1) ELRA: if a contract of employment can be terminated on notice, the required period of notice is at least:<br/>* 7 days if given in the first month of employment and after that;<br/>* 28 days if the employee is employed on a monthly basis;<br/>* 4 days if the employee is employed on a daily or weekly basis.<br/>A longer notice period may be agreed upon by the parties, provided that the notice period is of equal duration for the employer and employee."
Europe,Ukraine,2019,written,N,N,N,N,N,"Art. 49"
Africa,Uganda,2019,written,Y,N,N,N,N,"Art. 58(3) EA: Statutory minimum notice period are established according to the length of service, as follows:<br/>- at least 2 weeks, for a period of service of more than 6 months but less than 1 year;<br/>- at least 1 month, for a period of service of more than 12 months but less than 5 years;<br/>- at least 2 months, for a period of service of more than 5 months but less than 10 years;<br/>- at least 3 months, for a period of service of 10 years or more."
Americas,"United States",2017,"no specific form required",N,N,N,N,N,"There is no legislative requirement in regard to notice of termination for an individual employee, regardless the employee&apos;s tenure.  However, collective-bargaining agreements and private employment contracts may contain such provisions."
Americas,Uruguay,2019,"no specific form required",N,N,N,N,N,
Europe,Uzbekistan,2019,written,Y,Y,Y,N,Y,"Art. 102 LC provides for the following notice period: 2 months in cases of the termination due to changes in technology, production and labor organization, reduced volumes of work that resulted in changes in the number of (state) employees, or the changing nature of work, or in connection with the liquidation of the company as well as in connection with reaching the retirement age when the employee has the right to receive the state pension; 2 weeks when the termination occurred due to employees&apos; incapability to perform the work because of lack of qualifications or health status; 3 days when terminated due to the employee&apos;s own culpable conduct (a single gross or a systematic violation of labour discipline).<br/><br/>However, art. 102 also states that   the two-month and three-day notice period may be replaced by corresponding compensation at the employer&apos;s discretion. The two-week notice stipulated above shall not be given when an employment agreement is terminated due to the employee&apos;s inability to perform the duties of his or her job for health reasons where there is a medical certificate confirming that the job is contraindicated to the employee.  In this case, the employee shall be paid compensation in the amount of two weeks&apos; wages."
Americas,"Venezuela, Bolivarian Republic of",2019,"no specific form required",N,N,N,N,N,"No notice period is necessary in cases of dismissal for just cause. (art. 82 OLL)<br/>____________<br/>In Spanish:  <br/>Artículo 82. &quot;Cualquiera de las partes podrá dar por terminada la reladón de trabajo, sin previo aviso, cuando exista causa justificada para llo. Esta causa no podrá invocarse si hubieren transcurrido treinta días continuos desde aquel en que el patrono, la oatrona o el trabajador o la trabajadora haya tenido o debido tener conocimiento del hecho que constituya causa justificada, para terminar la relación por voluntad unilateral.&quot;"
Asia,"Viet Nam",2012,"no specific form required",Y,N,Y,N,N,"Art: 38 (3) LC: The employer must give at least 45 days&apos; notice for an indefinite duration contract, 30 days&apos; notice for a fixed-term contract, and three days&apos; notice for a seasonal or specific-task contract.  These requirements apply to all forms of unilateral termination, except when the employer is using dismissal as a disciplinary measure."
"Arab States",Yemen,2013,"no specific form required",Y,N,N,N,N,"The length of the notice period  to be observed by either party is not set according to the length of service but according to the pay period, as follows:<br/>-  30 days for workers with monthly wages;<br/>-  15 days for workers with half-monthly wages,<br/>-  one week for workers working on the basis of production or piece work, or hourly or daily or weekly rates (art. 38(3) LC)."
Europe,Serbia,2019,written,Y,N,N,N,N,"Article 189 of Labour Law foresees i) a notice period only for those employees dismissed for lack of performance, i.e. qualifications and skills; (ii) Notice period is minimum 1 month and maximum 3 months depending on the &quot;duration of the insurance period&quot; (period for which the employee has paid contributions for the retirement insurance), as follows:<br/>- 1 month for up to 10 years of insurance period;<br/>- 2 months for 10-20 years of insurance period;<br/>- 3 months over 20 years of insurance period."
Africa,"South Africa",2019,written,Y,N,N,N,N,"Sec. 37(1) BCEA establishes minimum notice periods to be observed by the employer when he or she intends to dismiss an employee, as follows:<br/>- 1 week&apos;s notice if the employee has been employed for 6 months or less,<br/>- 2 week&apos;s notice if the employee has been employed for more than 6 months but not more than 1 year;<br/>- 4 weeks if the employee has been employed for one year or more (or is a farm or domestic workers employed for more than 6 months)<br/>Collective agreements only provide shorter notice periods than those stipulated by the BCEA for workers with more than 1 year of service. In such cases, the notice period can be reduced to 2 weeks (sec. 37(2) BCEA)."
Africa,Zambia,2019,"no specific form required",Y,N,N,N,N,"Oral contract:<br/>- Sec. 20 (2) EA provides that in the absence of any agreement providing for a period of notice of longer duration, the length of such notice shall be-<br/>(a) subject to the provisions of paragraph (b), twenty-four hours where the contract is for a period of less than a week;<br/>(b) fourteen days where the contract is a daily contract under which, by agreement or custom, wages are payable not at the end of the day, but at intervals not exceeding one month;<br/>(c) thirty days where the contract is for a period of one week or more&quot;.<br/>- The notice period to be given to the employee in the event of termination by redundancy is 1 month (see sec. 10 MWCEGO and sec. 9 MWCESO).<br/><br/>In the legislation reviewed, no information has been found with regards to written contracts.<br/>"
