Region,Country,Year,Tenure >=,Category (Severance pay / Redundancy pay),General remarks,Severance pay amount in time
Americas,Saint Lucia,2017,4 years,Severance pay,"Section 161 LA: (1) The Minister may, after consultation with the trade unions and the employers’ organizations, make <br/> Regulations relating to severance.<br/>(2) Until such time as the Minister makes Regulations pursuant to subsection (1), the existing collective agreements and practices relating to severance shall continue. <br/><br/>See also section 144 LA: where an employee is dismissed for misconduct or for unsatisfactory performance or for breach of contract in accordance with this Division, he or she is entitled to remuneration and accrued leave up to and including the date of the dismissal.<br/>",1.0 month(s)
Americas,Saint Lucia,2017,5 years,Severance pay,"Section 161 LA: (1) The Minister may, after consultation with the trade unions and the employers’ organizations, make <br/> Regulations relating to severance.<br/>(2) Until such time as the Minister makes Regulations pursuant to subsection (1), the existing collective agreements and practices relating to severance shall continue. <br/><br/>See also section 144 LA: where an employee is dismissed for misconduct or for unsatisfactory performance or for breach of contract in accordance with this Division, he or she is entitled to remuneration and accrued leave up to and including the date of the dismissal.<br/>",1.25 month(s)
Americas,Saint Lucia,2017,10 years,Severance pay,"Section 161 LA: (1) The Minister may, after consultation with the trade unions and the employers’ organizations, make <br/> Regulations relating to severance.<br/>(2) Until such time as the Minister makes Regulations pursuant to subsection (1), the existing collective agreements and practices relating to severance shall continue. <br/><br/>See also section 144 LA: where an employee is dismissed for misconduct or for unsatisfactory performance or for breach of contract in accordance with this Division, he or she is entitled to remuneration and accrued leave up to and including the date of the dismissal.<br/>",2.75 month(s)
Americas,Saint Lucia,2017,20 years,Severance pay,"Section 161 LA: (1) The Minister may, after consultation with the trade unions and the employers’ organizations, make <br/> Regulations relating to severance.<br/>(2) Until such time as the Minister makes Regulations pursuant to subsection (1), the existing collective agreements and practices relating to severance shall continue. <br/><br/>See also section 144 LA: where an employee is dismissed for misconduct or for unsatisfactory performance or for breach of contract in accordance with this Division, he or she is entitled to remuneration and accrued leave up to and including the date of the dismissal.<br/>",6.75 month(s)
Americas,Saint Lucia,2017,6 months,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,0.0 month(s)
Americas,Saint Lucia,2017,9 months,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,0.0 month(s)
Americas,Saint Lucia,2017,1 year,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,0.25 month(s)
Americas,Saint Lucia,2017,2 years,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,0.5 month(s)
Americas,Saint Lucia,2017,4 years,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,1.0 month(s)
Americas,Saint Lucia,2017,5 years,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,1.25 month(s)
Americas,Saint Lucia,2017,10 years,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,2.75 month(s)
Americas,Saint Lucia,2017,20 years,Redundancy pay,Section 160 Labour Act: (1) On termination of employment due to redundancy an employee who has completed no less than two years of continuous employment with his or her employer is entitled to be paid by the employer redundancy pay equivalent to - <br/>(a) one week’s basic pay for each completed year of service up to the first three years;<br/>(b) two weeks’ basic pay for each completed year of service in excess of three years and up to seven years; or<br/>(c) three weeks’ basic pay for each completed year of service in excess of seven years of service. <br/>,6.75 month(s)
Asia,Sri Lanka,2019,6 months,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,9 months,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,1 year,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,2 years,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,4 years,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,5 years,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,10 years,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,20 years,Severance pay,"Under the Payment of Gratuity Act [PGA], upon any termination of employment, every employer who employs 15 or more shall pay to any monthly-paid employee who has worked for at least 5 years a gratuity gratuity payment which amounts to half a month&apos;s salary for each completed year of service, or 14 days&apos; wages per year of service for non-monthly paid workers. <br/>This indemnity is payable regardless of the reason for termination (resignation, dismissal, retirement,  death of the worker, by operation of law, or otherwise). See sec. 5(1) and 6 PGA.<br/>",0.0 month(s)
Asia,Sri Lanka,2019,6 months,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,9 months,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,1 year,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,2 years,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,4 years,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,5 years,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,10 years,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Asia,Sri Lanka,2019,20 years,Redundancy pay,No specific redundancy payment. Severance pay is payable in the event of any termination including for economic reasons. See sec. 5(1) and 6 PGA.<br/>,1.0 month(s)
Africa,Lesotho,2019,6 months,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,9 months,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,1 year,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,2 years,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,4 years,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,5 years,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,10 years,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,20 years,Severance pay,"Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. However, &quot;it shall not exceed a sum which may be prescribed by the Minister from time to time after consultation with the Wages Board&quot;.  No information was found on this maximum amount.<br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 month(s)
Africa,Lesotho,2019,6 months,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 week(s)
Africa,Lesotho,2019,9 months,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",0.0 week(s)
Africa,Lesotho,2019,1 year,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",4.0 week(s)
Africa,Lesotho,2019,2 years,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",6.0 week(s)
Africa,Lesotho,2019,4 years,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",8.0 week(s)
Africa,Lesotho,2019,5 years,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",10.0 week(s)
Africa,Lesotho,2019,10 years,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",12.0 week(s)
Africa,Lesotho,2019,20 years,Redundancy pay,"No specific redundancy payment. Same as severance pay.<br/>Art. 79 LC:<br/>- A worker is entitled to severance pay provided he has not been dismissed for misconduct and has completed more than one year of service.<br/>- Severance pay shall amount to 2 weeks&apos; wages for each year of service. <br/><br/>However, the 1997 Labour Code Amendment Act provides for exemptions from statutory severance pay where the employer has demonstrated to the Labour Commissioner in writing that it offers a more advantageous separation benefit scheme.",12.0 week(s)
Europe,Luxembourg,2019,6 months,Severance pay,"Art. L 124-7 LC: except in case of serious misconduct, a dismissed employee (under a contract of indeterminate duration) is entitled to severance pay (&quot;indemnité de départ&quot;) provided he or she have been continuously employed for at least five years with the same employer and is not eligible to an old-age pension.<br/>Statutory severance pay is determined according to the length of service and should not be less than:<br/>* 1 month&apos;s wages for at least 5 years of continuous service;<br/>* 2 month&apos;s wages for at least 10 years of continuous service;<br/>* 3 month&apos;s wages for at least 15 years of continuous service;<br/>* 6 month&apos;s wages for at least 20 years of continuous service;<br/>* 9 month&apos;s wages for at least 25 years of continuous service;<br/>* 12 month&apos;s wages for at least 30 years of continuous service.<br/><br/>Art. 124-7 (2) LC provides that employers employing less than 20 employees may opt in the dismissal letter either for the payment of the severance pay referred to in paragraph (1) above or for the extension of the notice periods as established in detail by Art. 124-7 (2) LC.<br/>_______________________<br/>Art. 124-7 du Code du travail:<br/>(1) (...) L’indemnité de départ visée à l’alinéa 1 ne peut être inférieure à:<br/>– un mois de salaire après une ancienneté de service continus de cinq années au moins;<br/>– deux mois de salaire après une ancienneté de service continus de dix années au moins;<br/>– trois mois de salaire après une ancienneté de service continus de quinze années au moins;<br/>– six mois de salaire après une ancienneté de service continus de vingt années au moins;<br/>– neuf mois de salaire après une ancienneté de service continus de vingt-cinq années au moins;<br/>– douze mois de salaire après une ancienneté de service continus de trente années au moins.<br/><br/>(2) L’employeur occupant moins de vingt salariés peut opter dans la lettre de licenciement soit pour le versement des indemnités visées au paragraphe (1) qui précède, soit pour la prolongation des délais de préavis visés à l’article L. 124-3 qui, dans ce cas, sont portés:<br/>– à cinq mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de cinq années au moins;<br/>– à huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de dix années au moins;<br/>– à neuf mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de quinze années au moins;<br/>– à douze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt années au moins;<br/>– à quinze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt-cinq années au moins;<br/>– à dix-huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de trente années au moins.",0.0 month(s)
Europe,Luxembourg,2019,9 months,Severance pay,"Art. L 124-7 LC: except in case of serious misconduct, a dismissed employee (under a contract of indeterminate duration) is entitled to severance pay (&quot;indemnité de départ&quot;) provided he or she have been continuously employed for at least five years with the same employer and is not eligible to an old-age pension.<br/>Statutory severance pay is determined according to the length of service and should not be less than:<br/>* 1 month&apos;s wages for at least 5 years of continuous service;<br/>* 2 month&apos;s wages for at least 10 years of continuous service;<br/>* 3 month&apos;s wages for at least 15 years of continuous service;<br/>* 6 month&apos;s wages for at least 20 years of continuous service;<br/>* 9 month&apos;s wages for at least 25 years of continuous service;<br/>* 12 month&apos;s wages for at least 30 years of continuous service.<br/><br/>Art. 124-7 (2) LC provides that employers employing less than 20 employees may opt in the dismissal letter either for the payment of the severance pay referred to in paragraph (1) above or for the extension of the notice periods as established in detail by Art. 124-7 (2) LC.<br/>_______________________<br/>Art. 124-7 du Code du travail:<br/>(1) (...) L’indemnité de départ visée à l’alinéa 1 ne peut être inférieure à:<br/>– un mois de salaire après une ancienneté de service continus de cinq années au moins;<br/>– deux mois de salaire après une ancienneté de service continus de dix années au moins;<br/>– trois mois de salaire après une ancienneté de service continus de quinze années au moins;<br/>– six mois de salaire après une ancienneté de service continus de vingt années au moins;<br/>– neuf mois de salaire après une ancienneté de service continus de vingt-cinq années au moins;<br/>– douze mois de salaire après une ancienneté de service continus de trente années au moins.<br/><br/>(2) L’employeur occupant moins de vingt salariés peut opter dans la lettre de licenciement soit pour le versement des indemnités visées au paragraphe (1) qui précède, soit pour la prolongation des délais de préavis visés à l’article L. 124-3 qui, dans ce cas, sont portés:<br/>– à cinq mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de cinq années au moins;<br/>– à huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de dix années au moins;<br/>– à neuf mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de quinze années au moins;<br/>– à douze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt années au moins;<br/>– à quinze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt-cinq années au moins;<br/>– à dix-huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de trente années au moins.",0.0 month(s)
Europe,Luxembourg,2019,1 year,Severance pay,"Art. L 124-7 LC: except in case of serious misconduct, a dismissed employee (under a contract of indeterminate duration) is entitled to severance pay (&quot;indemnité de départ&quot;) provided he or she have been continuously employed for at least five years with the same employer and is not eligible to an old-age pension.<br/>Statutory severance pay is determined according to the length of service and should not be less than:<br/>* 1 month&apos;s wages for at least 5 years of continuous service;<br/>* 2 month&apos;s wages for at least 10 years of continuous service;<br/>* 3 month&apos;s wages for at least 15 years of continuous service;<br/>* 6 month&apos;s wages for at least 20 years of continuous service;<br/>* 9 month&apos;s wages for at least 25 years of continuous service;<br/>* 12 month&apos;s wages for at least 30 years of continuous service.<br/><br/>Art. 124-7 (2) LC provides that employers employing less than 20 employees may opt in the dismissal letter either for the payment of the severance pay referred to in paragraph (1) above or for the extension of the notice periods as established in detail by Art. 124-7 (2) LC.<br/>_______________________<br/>Art. 124-7 du Code du travail:<br/>(1) (...) L’indemnité de départ visée à l’alinéa 1 ne peut être inférieure à:<br/>– un mois de salaire après une ancienneté de service continus de cinq années au moins;<br/>– deux mois de salaire après une ancienneté de service continus de dix années au moins;<br/>– trois mois de salaire après une ancienneté de service continus de quinze années au moins;<br/>– six mois de salaire après une ancienneté de service continus de vingt années au moins;<br/>– neuf mois de salaire après une ancienneté de service continus de vingt-cinq années au moins;<br/>– douze mois de salaire après une ancienneté de service continus de trente années au moins.<br/><br/>(2) L’employeur occupant moins de vingt salariés peut opter dans la lettre de licenciement soit pour le versement des indemnités visées au paragraphe (1) qui précède, soit pour la prolongation des délais de préavis visés à l’article L. 124-3 qui, dans ce cas, sont portés:<br/>– à cinq mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de cinq années au moins;<br/>– à huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de dix années au moins;<br/>– à neuf mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de quinze années au moins;<br/>– à douze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt années au moins;<br/>– à quinze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt-cinq années au moins;<br/>– à dix-huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de trente années au moins.",0.0 month(s)
Europe,Luxembourg,2019,2 years,Severance pay,"Art. L 124-7 LC: except in case of serious misconduct, a dismissed employee (under a contract of indeterminate duration) is entitled to severance pay (&quot;indemnité de départ&quot;) provided he or she have been continuously employed for at least five years with the same employer and is not eligible to an old-age pension.<br/>Statutory severance pay is determined according to the length of service and should not be less than:<br/>* 1 month&apos;s wages for at least 5 years of continuous service;<br/>* 2 month&apos;s wages for at least 10 years of continuous service;<br/>* 3 month&apos;s wages for at least 15 years of continuous service;<br/>* 6 month&apos;s wages for at least 20 years of continuous service;<br/>* 9 month&apos;s wages for at least 25 years of continuous service;<br/>* 12 month&apos;s wages for at least 30 years of continuous service.<br/><br/>Art. 124-7 (2) LC provides that employers employing less than 20 employees may opt in the dismissal letter either for the payment of the severance pay referred to in paragraph (1) above or for the extension of the notice periods as established in detail by Art. 124-7 (2) LC.<br/>_______________________<br/>Art. 124-7 du Code du travail:<br/>(1) (...) L’indemnité de départ visée à l’alinéa 1 ne peut être inférieure à:<br/>– un mois de salaire après une ancienneté de service continus de cinq années au moins;<br/>– deux mois de salaire après une ancienneté de service continus de dix années au moins;<br/>– trois mois de salaire après une ancienneté de service continus de quinze années au moins;<br/>– six mois de salaire après une ancienneté de service continus de vingt années au moins;<br/>– neuf mois de salaire après une ancienneté de service continus de vingt-cinq années au moins;<br/>– douze mois de salaire après une ancienneté de service continus de trente années au moins.<br/><br/>(2) L’employeur occupant moins de vingt salariés peut opter dans la lettre de licenciement soit pour le versement des indemnités visées au paragraphe (1) qui précède, soit pour la prolongation des délais de préavis visés à l’article L. 124-3 qui, dans ce cas, sont portés:<br/>– à cinq mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de cinq années au moins;<br/>– à huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de dix années au moins;<br/>– à neuf mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de quinze années au moins;<br/>– à douze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt années au moins;<br/>– à quinze mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de vingt-cinq années au moins;<br/>– à dix-huit mois pour le salarié justifiant auprès du même employeur d’une ancienneté de service continus de trente années au moins.",0.0 month(s)
